date,iso_code,location,total_cases,population
2020-03-21,KOR,South Korea,8162.0,51815808
2020-03-22,KOR,South Korea,8897.0,51815808
2020-03-23,KOR,South Korea,8897.0,51815808
2020-03-24,KOR,South Korea,8897.0,51815808
2020-03-25,KOR,South Korea,8897.0,51815808
2020-03-26,KOR,South Korea,8897.0,51815808
2020-03-27,KOR,South Korea,8897.0,51815808
2020-03-28,KOR,South Korea,8897.0,51815808
2020-03-29,KOR,South Korea,9583.0,51815808
2020-03-30,KOR,South Korea,9583.0,51815808
2020-03-31,KOR,South Korea,9583.0,51815808
2020-04-01,KOR,South Korea,9583.0,51815808
2020-04-02,KOR,South Korea,9583.0,51815808
2020-04-03,KOR,South Korea,9583.0,51815808
2020-04-04,KOR,South Korea,9583.0,51815808
2020-04-05,KOR,South Korea,10237.0,51815808
2020-04-06,KOR,South Korea,10237.0,51815808
2020-04-07,KOR,South Korea,10237.0,51815808
2020-04-08,KOR,South Korea,10237.0,51815808
2020-04-09,KOR,South Korea,10237.0,51815808
2020-04-10,KOR,South Korea,10237.0,51815808
2020-04-11,KOR,South Korea,10237.0,51815808
2020-04-12,KOR,South Korea,10512.0,51815808
2020-04-13,KOR,South Korea,10512.0,51815808
2020-04-14,KOR,South Korea,10512.0,51815808
2020-04-15,KOR,South Korea,10512.0,51815808
2020-04-16,KOR,South Korea,10512.0,51815808
2020-04-17,KOR,South Korea,10512.0,51815808
2020-04-18,KOR,South Korea,10512.0,51815808
2020-04-19,KOR,South Korea,10661.0,51815808
2020-04-20,KOR,South Korea,10661.0,51815808
2020-04-21,KOR,South Korea,10661.0,51815808
2020-04-22,KOR,South Korea,10661.0,51815808
2020-04-23,KOR,South Korea,10661.0,51815808
2020-04-24,KOR,South Korea,10661.0,51815808
2020-04-25,KOR,South Korea,10661.0,51815808
2020-04-26,KOR,South Korea,10728.0,51815808
2020-04-27,KOR,South Korea,10728.0,51815808
2020-04-28,KOR,South Korea,10728.0,51815808
2020-04-29,KOR,South Korea,10728.0,51815808
2020-04-30,KOR,South Korea,10728.0,51815808
2020-05-01,KOR,South Korea,10728.0,51815808
2020-05-02,KOR,South Korea,10728.0,51815808
2020-05-03,KOR,South Korea,10793.0,51815808
2020-05-04,KOR,South Korea,10793.0,51815808
2020-05-05,KOR,South Korea,10793.0,51815808
2020-05-06,KOR,South Korea,10793.0,51815808
2020-05-07,KOR,South Korea,10793.0,51815808
2020-05-08,KOR,South Korea,10793.0,51815808
2020-05-09,KOR,South Korea,10793.0,51815808
2020-05-10,KOR,South Korea,10874.0,51815808
2020-05-11,KOR,South Korea,10874.0,51815808
2020-05-12,KOR,South Korea,10874.0,51815808
2020-05-13,KOR,South Korea,10874.0,51815808
2020-05-14,KOR,South Korea,10874.0,51815808
2020-05-15,KOR,South Korea,10874.0,51815808
2020-05-16,KOR,South Korea,10874.0,51815808
2020-05-17,KOR,South Korea,11050.0,51815808
2020-05-18,KOR,South Korea,11050.0,51815808
2020-05-19,KOR,South Korea,11050.0,51815808
2020-05-20,KOR,South Korea,11050.0,51815808
2020-05-21,KOR,South Korea,11050.0,51815808
2020-05-22,KOR,South Korea,11050.0,51815808
2020-05-23,KOR,South Korea,11050.0,51815808
2020-05-24,KOR,South Korea,11190.0,51815808
2020-05-25,KOR,South Korea,11190.0,51815808
2020-05-26,KOR,South Korea,11190.0,51815808
2020-05-27,KOR,South Korea,11190.0,51815808
2020-05-28,KOR,South Korea,11190.0,51815808
2020-05-29,KOR,South Korea,11190.0,51815808
2020-05-30,KOR,South Korea,11190.0,51815808
2020-05-31,KOR,South Korea,11468.0,51815808
2020-06-01,KOR,South Korea,11468.0,51815808
2020-06-02,KOR,South Korea,11468.0,51815808
2020-06-03,KOR,South Korea,11468.0,51815808
2020-06-04,KOR,South Korea,11468.0,51815808
2020-06-05,KOR,South Korea,11468.0,51815808
2020-06-06,KOR,South Korea,11468.0,51815808
2020-06-07,KOR,South Korea,11776.0,51815808
2020-06-08,KOR,South Korea,11776.0,51815808
2020-06-09,KOR,South Korea,11776.0,51815808
2020-06-10,KOR,South Korea,11776.0,51815808
2020-06-11,KOR,South Korea,11776.0,51815808
2020-06-12,KOR,South Korea,11776.0,51815808
2020-06-13,KOR,South Korea,11776.0,51815808
2020-06-14,KOR,South Korea,12084.0,51815808
2020-06-15,KOR,South Korea,12084.0,51815808
2020-06-16,KOR,South Korea,12084.0,51815808
2020-06-17,KOR,South Korea,12084.0,51815808
2020-06-18,KOR,South Korea,12084.0,51815808
2020-06-19,KOR,South Korea,12084.0,51815808
2020-06-20,KOR,South Korea,12084.0,51815808
2020-06-21,KOR,South Korea,12421.0,51815808
2020-06-22,KOR,South Korea,12421.0,51815808
2020-06-23,KOR,South Korea,12421.0,51815808
2020-06-24,KOR,South Korea,12421.0,51815808
2020-06-25,KOR,South Korea,12421.0,51815808
2020-06-26,KOR,South Korea,12421.0,51815808
2020-06-27,KOR,South Korea,12421.0,51815808
2020-06-28,KOR,South Korea,12715.0,51815808
2020-06-29,KOR,South Korea,12715.0,51815808
2020-06-30,KOR,South Korea,12715.0,51815808
2020-07-01,KOR,South Korea,12715.0,51815808
2020-07-02,KOR,South Korea,12715.0,51815808
2020-07-03,KOR,South Korea,12715.0,51815808
2020-07-04,KOR,South Korea,12715.0,51815808
2020-07-05,KOR,South Korea,13089.0,51815808
2020-07-06,KOR,South Korea,13089.0,51815808
2020-07-07,KOR,South Korea,13089.0,51815808
2020-07-08,KOR,South Korea,13089.0,51815808
2020-07-09,KOR,South Korea,13089.0,51815808
2020-07-10,KOR,South Korea,13089.0,51815808
2020-07-11,KOR,South Korea,13089.0,51815808
2020-07-12,KOR,South Korea,13417.0,51815808
2020-07-13,KOR,South Korea,13417.0,51815808
2020-07-14,KOR,South Korea,13417.0,51815808
2020-07-15,KOR,South Korea,13417.0,51815808
2020-07-16,KOR,South Korea,13417.0,51815808
2020-07-17,KOR,South Korea,13417.0,51815808
2020-07-18,KOR,South Korea,13417.0,51815808
2020-07-19,KOR,South Korea,13745.0,51815808
2020-07-20,KOR,South Korea,13745.0,51815808
2020-07-21,KOR,South Korea,13745.0,51815808
2020-07-22,KOR,South Korea,13745.0,51815808
2020-07-23,KOR,South Korea,13745.0,51815808
2020-07-24,KOR,South Korea,13745.0,51815808
2020-07-25,KOR,South Korea,13745.0,51815808
2020-07-26,KOR,South Korea,14150.0,51815808
2020-07-27,KOR,South Korea,14150.0,51815808
2020-07-28,KOR,South Korea,14150.0,51815808
2020-07-29,KOR,South Korea,14150.0,51815808
2020-07-30,KOR,South Korea,14150.0,51815808
2020-07-31,KOR,South Korea,14150.0,51815808
2020-08-01,KOR,South Korea,14150.0,51815808
2020-08-02,KOR,South Korea,14366.0,51815808
2020-08-03,KOR,South Korea,14366.0,51815808
2020-08-04,KOR,South Korea,14366.0,51815808
2020-08-05,KOR,South Korea,14366.0,51815808
2020-08-06,KOR,South Korea,14366.0,51815808
2020-08-07,KOR,South Korea,14366.0,51815808
2020-08-08,KOR,South Korea,14366.0,51815808
2020-08-09,KOR,South Korea,14598.0,51815808
2020-08-10,KOR,South Korea,14598.0,51815808
2020-08-11,KOR,South Korea,14598.0,51815808
2020-08-12,KOR,South Korea,14598.0,51815808
2020-08-13,KOR,South Korea,14598.0,51815808
2020-08-14,KOR,South Korea,14598.0,51815808
2020-08-15,KOR,South Korea,14598.0,51815808
2020-08-16,KOR,South Korea,15318.0,51815808
2020-08-17,KOR,South Korea,15318.0,51815808
2020-08-18,KOR,South Korea,15318.0,51815808
2020-08-19,KOR,South Korea,15318.0,51815808
2020-08-20,KOR,South Korea,15318.0,51815808
2020-08-21,KOR,South Korea,15318.0,51815808
2020-08-22,KOR,South Korea,15318.0,51815808
2020-08-23,KOR,South Korea,17399.0,51815808
2020-08-24,KOR,South Korea,17399.0,51815808
2020-08-25,KOR,South Korea,17399.0,51815808
2020-08-26,KOR,South Korea,17399.0,51815808
2020-08-27,KOR,South Korea,17399.0,51815808
2020-08-28,KOR,South Korea,17399.0,51815808
2020-08-29,KOR,South Korea,17399.0,51815808
2020-08-30,KOR,South Korea,19699.0,51815808
2020-08-31,KOR,South Korea,19699.0,51815808
2020-09-01,KOR,South Korea,19699.0,51815808
2020-09-02,KOR,South Korea,19699.0,51815808
2020-09-03,KOR,South Korea,19699.0,51815808
2020-09-04,KOR,South Korea,19699.0,51815808
2020-09-05,KOR,South Korea,19699.0,51815808
2020-09-06,KOR,South Korea,21177.0,51815808
2020-09-07,KOR,South Korea,21177.0,51815808
2020-09-08,KOR,South Korea,21177.0,51815808
2020-09-09,KOR,South Korea,21177.0,51815808
2020-09-10,KOR,South Korea,21177.0,51815808
2020-09-11,KOR,South Korea,21177.0,51815808
2020-09-12,KOR,South Korea,21177.0,51815808
2020-09-13,KOR,South Korea,22176.0,51815808
2020-09-14,KOR,South Korea,22176.0,51815808
2020-09-15,KOR,South Korea,22176.0,51815808
2020-09-16,KOR,South Korea,22176.0,51815808
2020-09-17,KOR,South Korea,22176.0,51815808
2020-09-18,KOR,South Korea,22176.0,51815808
2020-09-19,KOR,South Korea,22176.0,51815808
2020-09-20,KOR,South Korea,22975.0,51815808
2020-09-21,KOR,South Korea,22975.0,51815808
2020-09-22,KOR,South Korea,22975.0,51815808
2020-09-23,KOR,South Korea,22975.0,51815808
2020-09-24,KOR,South Korea,22975.0,51815808
2020-09-25,KOR,South Korea,22975.0,51815808
2020-09-26,KOR,South Korea,22975.0,51815808
2020-09-27,KOR,South Korea,23611.0,51815808
2020-09-28,KOR,South Korea,23611.0,51815808
2020-09-29,KOR,South Korea,23611.0,51815808
2020-09-30,KOR,South Korea,23611.0,51815808
2020-10-01,KOR,South Korea,23611.0,51815808
2020-10-02,KOR,South Korea,23611.0,51815808
2020-10-03,KOR,South Korea,23611.0,51815808
2020-10-04,KOR,South Korea,24091.0,51815808
2020-10-05,KOR,South Korea,24091.0,51815808
2020-10-06,KOR,South Korea,24091.0,51815808
2020-10-07,KOR,South Korea,24091.0,51815808
2020-10-08,KOR,South Korea,24091.0,51815808
2020-10-09,KOR,South Korea,24091.0,51815808
2020-10-10,KOR,South Korea,24091.0,51815808
2020-10-11,KOR,South Korea,24606.0,51815808
2020-10-12,KOR,South Korea,24606.0,51815808
2020-10-13,KOR,South Korea,24606.0,51815808
2020-10-14,KOR,South Korea,24606.0,51815808
2020-10-15,KOR,South Korea,24606.0,51815808
2020-10-16,KOR,South Korea,24606.0,51815808
2020-10-17,KOR,South Korea,24606.0,51815808
2020-10-18,KOR,South Korea,25199.0,51815808
2020-10-19,KOR,South Korea,25199.0,51815808
2020-10-20,KOR,South Korea,25199.0,51815808
2020-10-21,KOR,South Korea,25199.0,51815808
2020-10-22,KOR,South Korea,25199.0,51815808
2020-10-23,KOR,South Korea,25199.0,51815808
2020-10-24,KOR,South Korea,25199.0,51815808
2020-10-25,KOR,South Korea,25836.0,51815808
2020-10-26,KOR,South Korea,25836.0,51815808
2020-10-27,KOR,South Korea,25836.0,51815808
2020-10-28,KOR,South Korea,25836.0,51815808
2020-10-29,KOR,South Korea,25836.0,51815808
2020-10-30,KOR,South Korea,25836.0,51815808
2020-10-31,KOR,South Korea,25836.0,51815808
2020-11-01,KOR,South Korea,26635.0,51815808
2020-11-02,KOR,South Korea,26635.0,51815808
2020-11-03,KOR,South Korea,26635.0,51815808
2020-11-04,KOR,South Korea,26635.0,51815808
2020-11-05,KOR,South Korea,26635.0,51815808
2020-11-06,KOR,South Korea,26635.0,51815808
2020-11-07,KOR,South Korea,26635.0,51815808
2020-11-08,KOR,South Korea,27426.0,51815808
2020-11-09,KOR,South Korea,27426.0,51815808
2020-11-10,KOR,South Korea,27426.0,51815808
2020-11-11,KOR,South Korea,27426.0,51815808
2020-11-12,KOR,South Korea,27426.0,51815808
2020-11-13,KOR,South Korea,27426.0,51815808
2020-11-14,KOR,South Korea,27426.0,51815808
2020-11-15,KOR,South Korea,28544.0,51815808
2020-11-16,KOR,South Korea,28544.0,51815808
2020-11-17,KOR,South Korea,28544.0,51815808
2020-11-18,KOR,South Korea,28544.0,51815808
2020-11-19,KOR,South Korea,28544.0,51815808
2020-11-20,KOR,South Korea,28544.0,51815808
2020-11-21,KOR,South Korea,28544.0,51815808
2020-11-22,KOR,South Korea,30670.0,51815808
2020-11-23,KOR,South Korea,30670.0,51815808
2020-11-24,KOR,South Korea,30670.0,51815808
2020-11-25,KOR,South Korea,30670.0,51815808
2020-11-26,KOR,South Korea,30670.0,51815808
2020-11-27,KOR,South Korea,30670.0,51815808
2020-11-28,KOR,South Korea,30670.0,51815808
2020-11-29,KOR,South Korea,33761.0,51815808
2020-11-30,KOR,South Korea,33761.0,51815808
2020-12-01,KOR,South Korea,33761.0,51815808
2020-12-02,KOR,South Korea,33761.0,51815808
2020-12-03,KOR,South Korea,33761.0,51815808
2020-12-04,KOR,South Korea,33761.0,51815808
2020-12-05,KOR,South Korea,33761.0,51815808
2020-12-06,KOR,South Korea,37537.0,51815808
2020-12-07,KOR,South Korea,37537.0,51815808
2020-12-08,KOR,South Korea,37537.0,51815808
2020-12-09,KOR,South Korea,37537.0,51815808
2020-12-10,KOR,South Korea,37537.0,51815808
2020-12-11,KOR,South Korea,37537.0,51815808
2020-12-12,KOR,South Korea,37537.0,51815808
2020-12-13,KOR,South Korea,42758.0,51815808
2020-12-14,KOR,South Korea,42758.0,51815808
2020-12-15,KOR,South Korea,42758.0,51815808
2020-12-16,KOR,South Korea,42758.0,51815808
2020-12-17,KOR,South Korea,42758.0,51815808
2020-12-18,KOR,South Korea,42758.0,51815808
2020-12-19,KOR,South Korea,42758.0,51815808
2020-12-20,KOR,South Korea,49654.0,51815808
2020-12-21,KOR,South Korea,49654.0,51815808
2020-12-22,KOR,South Korea,49654.0,51815808
2020-12-23,KOR,South Korea,49654.0,51815808
2020-12-24,KOR,South Korea,49654.0,51815808
2020-12-25,KOR,South Korea,49654.0,51815808
2020-12-26,KOR,South Korea,49654.0,51815808
2020-12-27,KOR,South Korea,56855.0,51815808
2020-12-28,KOR,South Korea,56855.0,51815808
2020-12-29,KOR,South Korea,56855.0,51815808
2020-12-30,KOR,South Korea,56855.0,51815808
2020-12-31,KOR,South Korea,56855.0,51815808
2021-01-01,KOR,South Korea,56855.0,51815808
2021-01-02,KOR,South Korea,56855.0,51815808
2021-01-03,KOR,South Korea,64251.0,51815808
2021-01-04,KOR,South Korea,64251.0,51815808
2021-01-05,KOR,South Korea,64251.0,51815808
2021-01-06,KOR,South Korea,64251.0,51815808
2021-01-07,KOR,South Korea,64251.0,51815808
2021-01-08,KOR,South Korea,64251.0,51815808
2021-01-09,KOR,South Korea,64251.0,51815808
2021-01-10,KOR,South Korea,69095.0,51815808
2021-01-11,KOR,South Korea,69095.0,51815808
2021-01-12,KOR,South Korea,69095.0,51815808
2021-01-13,KOR,South Korea,69095.0,51815808
2021-01-14,KOR,South Korea,69095.0,51815808
2021-01-15,KOR,South Korea,69095.0,51815808
2021-01-16,KOR,South Korea,69095.0,51815808
2021-01-17,KOR,South Korea,72718.0,51815808
2021-01-18,KOR,South Korea,72718.0,51815808
2021-01-19,KOR,South Korea,72718.0,51815808
2021-01-20,KOR,South Korea,72718.0,51815808
2021-01-21,KOR,South Korea,72718.0,51815808
2021-01-22,KOR,South Korea,72718.0,51815808
2021-01-23,KOR,South Korea,72718.0,51815808
2021-01-24,KOR,South Korea,75514.0,51815808
2021-01-25,KOR,South Korea,75514.0,51815808
2021-01-26,KOR,South Korea,75514.0,51815808
2021-01-27,KOR,South Korea,75514.0,51815808
2021-01-28,KOR,South Korea,75514.0,51815808
2021-01-29,KOR,South Korea,75514.0,51815808
2021-01-30,KOR,South Korea,75514.0,51815808
2021-01-31,KOR,South Korea,78503.0,51815808
2021-02-01,KOR,South Korea,78503.0,51815808
2021-02-02,KOR,South Korea,78503.0,51815808
2021-02-03,KOR,South Korea,78503.0,51815808
2021-02-04,KOR,South Korea,78503.0,51815808
2021-02-05,KOR,South Korea,78503.0,51815808
2021-02-06,KOR,South Korea,78503.0,51815808
2021-02-07,KOR,South Korea,81176.0,51815808
2021-02-08,KOR,South Korea,81176.0,51815808
2021-02-09,KOR,South Korea,81176.0,51815808
2021-02-10,KOR,South Korea,81176.0,51815808
2021-02-11,KOR,South Korea,81176.0,51815808
2021-02-12,KOR,South Korea,81176.0,51815808
2021-02-13,KOR,South Korea,81176.0,51815808
2021-02-14,KOR,South Korea,83861.0,51815808
2021-02-15,KOR,South Korea,83861.0,51815808
2021-02-16,KOR,South Korea,83861.0,51815808
2021-02-17,KOR,South Korea,83861.0,51815808
2021-02-18,KOR,South Korea,83861.0,51815808
2021-02-19,KOR,South Korea,83861.0,51815808
2021-02-20,KOR,South Korea,83861.0,51815808
2021-02-21,KOR,South Korea,87317.0,51815808
2021-02-22,KOR,South Korea,87317.0,51815808
2021-02-23,KOR,South Korea,87317.0,51815808
2021-02-24,KOR,South Korea,87317.0,51815808
2021-02-25,KOR,South Korea,87317.0,51815808
2021-02-26,KOR,South Korea,87317.0,51815808
2021-02-27,KOR,South Korea,87317.0,51815808
2021-02-28,KOR,South Korea,90020.0,51815808
2021-03-01,KOR,South Korea,90020.0,51815808
2021-03-02,KOR,South Korea,90020.0,51815808
2021-03-03,KOR,South Korea,90020.0,51815808
2021-03-04,KOR,South Korea,90020.0,51815808
2021-03-05,KOR,South Korea,90020.0,51815808
2021-03-06,KOR,South Korea,90020.0,51815808
2021-03-07,KOR,South Korea,92810.0,51815808
2021-03-08,KOR,South Korea,92810.0,51815808
2021-03-09,KOR,South Korea,92810.0,51815808
2021-03-10,KOR,South Korea,92810.0,51815808
2021-03-11,KOR,South Korea,92810.0,51815808
2021-03-12,KOR,South Korea,92810.0,51815808
2021-03-13,KOR,South Korea,92810.0,51815808
2021-03-14,KOR,South Korea,96007.0,51815808
2021-03-15,KOR,South Korea,96007.0,51815808
2021-03-16,KOR,South Korea,96007.0,51815808
2021-03-17,KOR,South Korea,96007.0,51815808
2021-03-18,KOR,South Korea,96007.0,51815808
2021-03-19,KOR,South Korea,96007.0,51815808
2021-03-20,KOR,South Korea,96007.0,51815808
2021-03-21,KOR,South Korea,99065.0,51815808
2021-03-22,KOR,South Korea,99065.0,51815808
2021-03-23,KOR,South Korea,99065.0,51815808
2021-03-24,KOR,South Korea,99065.0,51815808
2021-03-25,KOR,South Korea,99065.0,51815808
2021-03-26,KOR,South Korea,99065.0,51815808
2021-03-27,KOR,South Korea,99065.0,51815808
2021-03-28,KOR,South Korea,102127.0,51815808
2021-03-29,KOR,South Korea,102127.0,51815808
2021-03-30,KOR,South Korea,102127.0,51815808
2021-03-31,KOR,South Korea,102127.0,51815808
2021-04-01,KOR,South Korea,102127.0,51815808
2021-04-02,KOR,South Korea,102127.0,51815808
2021-04-03,KOR,South Korea,102127.0,51815808
2021-04-04,KOR,South Korea,105747.0,51815808
2021-04-05,KOR,South Korea,105747.0,51815808
2021-04-06,KOR,South Korea,105747.0,51815808
2021-04-07,KOR,South Korea,105747.0,51815808
2021-04-08,KOR,South Korea,105747.0,51815808
2021-04-09,KOR,South Korea,105747.0,51815808
2021-04-10,KOR,South Korea,105747.0,51815808
2021-04-11,KOR,South Korea,110141.0,51815808
2021-04-12,KOR,South Korea,110141.0,51815808
2021-04-13,KOR,South Korea,110141.0,51815808
2021-04-14,KOR,South Korea,110141.0,51815808
2021-04-15,KOR,South Korea,110141.0,51815808
2021-04-16,KOR,South Korea,110141.0,51815808
2021-04-17,KOR,South Korea,110141.0,51815808
2021-04-18,KOR,South Korea,114646.0,51815808
2021-04-19,KOR,South Korea,114646.0,51815808
2021-04-20,KOR,South Korea,114646.0,51815808
2021-04-21,KOR,South Korea,114646.0,51815808
2021-04-22,KOR,South Korea,114646.0,51815808
2021-04-23,KOR,South Korea,114646.0,51815808
2021-04-24,KOR,South Korea,114646.0,51815808
2021-04-25,KOR,South Korea,119378.0,51815808
2021-04-26,KOR,South Korea,119378.0,51815808
2021-04-27,KOR,South Korea,119378.0,51815808
2021-04-28,KOR,South Korea,119378.0,51815808
2021-04-29,KOR,South Korea,119378.0,51815808
2021-04-30,KOR,South Korea,119378.0,51815808
2021-05-01,KOR,South Korea,119378.0,51815808
2021-05-02,KOR,South Korea,123720.0,51815808
2021-05-03,KOR,South Korea,123720.0,51815808
2021-05-04,KOR,South Korea,123720.0,51815808
2021-05-05,KOR,South Korea,123720.0,51815808
2021-05-06,KOR,South Korea,123720.0,51815808
2021-05-07,KOR,South Korea,123720.0,51815808
2021-05-08,KOR,South Korea,123720.0,51815808
2021-05-09,KOR,South Korea,127764.0,51815808
2021-05-10,KOR,South Korea,127764.0,51815808
2021-05-11,KOR,South Korea,127764.0,51815808
2021-05-12,KOR,South Korea,127764.0,51815808
2021-05-13,KOR,South Korea,127764.0,51815808
2021-05-14,KOR,South Korea,127764.0,51815808
2021-05-15,KOR,South Korea,127764.0,51815808
2021-05-16,KOR,South Korea,132280.0,51815808
2021-05-17,KOR,South Korea,132280.0,51815808
2021-05-18,KOR,South Korea,132280.0,51815808
2021-05-19,KOR,South Korea,132280.0,51815808
2021-05-20,KOR,South Korea,132280.0,51815808
2021-05-21,KOR,South Korea,132280.0,51815808
2021-05-22,KOR,South Korea,132280.0,51815808
2021-05-23,KOR,South Korea,136458.0,51815808
2021-05-24,KOR,South Korea,136458.0,51815808
2021-05-25,KOR,South Korea,136458.0,51815808
2021-05-26,KOR,South Korea,136458.0,51815808
2021-05-27,KOR,South Korea,136458.0,51815808
2021-05-28,KOR,South Korea,136458.0,51815808
2021-05-29,KOR,South Korea,136458.0,51815808
2021-05-30,KOR,South Korea,140338.0,51815808
2021-05-31,KOR,South Korea,140338.0,51815808
2021-06-01,KOR,South Korea,140338.0,51815808
2021-06-02,KOR,South Korea,140338.0,51815808
2021-06-03,KOR,South Korea,140338.0,51815808
2021-06-04,KOR,South Korea,140338.0,51815808
2021-06-05,KOR,South Korea,140338.0,51815808
2021-06-06,KOR,South Korea,144635.0,51815808
2021-06-07,KOR,South Korea,144635.0,51815808
2021-06-08,KOR,South Korea,144635.0,51815808
2021-06-09,KOR,South Korea,144635.0,51815808
2021-06-10,KOR,South Korea,144635.0,51815808
2021-06-11,KOR,South Korea,144635.0,51815808
2021-06-12,KOR,South Korea,144635.0,51815808
2021-06-13,KOR,South Korea,148273.0,51815808
2021-06-14,KOR,South Korea,148273.0,51815808
2021-06-15,KOR,South Korea,148273.0,51815808
2021-06-16,KOR,South Korea,148273.0,51815808
2021-06-17,KOR,South Korea,148273.0,51815808
2021-06-18,KOR,South Korea,148273.0,51815808
2021-06-19,KOR,South Korea,148273.0,51815808
2021-06-20,KOR,South Korea,151506.0,51815808
2021-06-21,KOR,South Korea,151506.0,51815808
2021-06-22,KOR,South Korea,151506.0,51815808
2021-06-23,KOR,South Korea,151506.0,51815808
2021-06-24,KOR,South Korea,151506.0,51815808
2021-06-25,KOR,South Korea,151506.0,51815808
2021-06-26,KOR,South Korea,151506.0,51815808
2021-06-27,KOR,South Korea,155572.0,51815808
2021-06-28,KOR,South Korea,155572.0,51815808
2021-06-29,KOR,South Korea,155572.0,51815808
2021-06-30,KOR,South Korea,155572.0,51815808
2021-07-01,KOR,South Korea,155572.0,51815808
2021-07-02,KOR,South Korea,155572.0,51815808
2021-07-03,KOR,South Korea,155572.0,51815808
2021-07-04,KOR,South Korea,160795.0,51815808
2021-07-05,KOR,South Korea,160795.0,51815808
2021-07-06,KOR,South Korea,160795.0,51815808
2021-07-07,KOR,South Korea,160795.0,51815808
2021-07-08,KOR,South Korea,160795.0,51815808
2021-07-09,KOR,South Korea,160795.0,51815808
2021-07-10,KOR,South Korea,160795.0,51815808
2021-07-11,KOR,South Korea,169146.0,51815808
2021-07-12,KOR,South Korea,169146.0,51815808
2021-07-13,KOR,South Korea,169146.0,51815808
2021-07-14,KOR,South Korea,169146.0,51815808
2021-07-15,KOR,South Korea,169146.0,51815808
2021-07-16,KOR,South Korea,169146.0,51815808
2021-07-17,KOR,South Korea,169146.0,51815808
